t,iter,drug_c,pd_output_1,scope,scenario
0.0,22,0.0,5.195774689998409,ode_,scn1
2.0,22,0.0,5.195774689998409,ode_,scn1
4.0,22,0.0,5.195774689998409,ode_,scn1
8.0,22,0.0,5.195774689998409,ode_,scn1
12.0,22,0.0,5.195774689998409,ode_,scn1
24.0,22,0.0,5.195774689998409,ode_,scn1
48.0,22,0.0,5.195774689998409,ode_,scn1
72.0,22,0.0,5.195774689998409,ode_,scn1
120.0,22,0.0,5.195774689998409,ode_,scn1
0.0,23,0.0,4.9282539928816425,ode_,scn1
2.0,23,0.0,4.9282539928816425,ode_,scn1
4.0,23,0.0,4.9282539928816425,ode_,scn1
8.0,23,0.0,4.9282539928816425,ode_,scn1
12.0,23,0.0,4.9282539928816425,ode_,scn1
24.0,23,0.0,4.9282539928816425,ode_,scn1
48.0,23,0.0,4.9282539928816425,ode_,scn1
72.0,23,0.0,4.9282539928816425,ode_,scn1
120.0,23,0.0,4.9282539928816425,ode_,scn1
0.0,24,0.0,4.181832020897835,ode_,scn1
2.0,24,0.0,4.181832020897835,ode_,scn1
4.0,24,0.0,4.181832020897835,ode_,scn1
8.0,24,0.0,4.181832020897835,ode_,scn1
12.0,24,0.0,4.181832020897835,ode_,scn1
24.0,24,0.0,4.181832020897835,ode_,scn1
48.0,24,0.0,4.181832020897835,ode_,scn1
72.0,24,0.0,4.181832020897835,ode_,scn1
120.0,24,0.0,4.181832020897835,ode_,scn1
0.0,25,0.0,5.821539180967374,ode_,scn1
2.0,25,0.0,5.821539180967374,ode_,scn1
4.0,25,0.0,5.821539180967374,ode_,scn1
8.0,25,0.0,5.821539180967374,ode_,scn1
12.0,25,0.0,5.821539180967374,ode_,scn1
24.0,25,0.0,5.821539180967374,ode_,scn1
48.0,25,0.0,5.821539180967374,ode_,scn1
72.0,25,0.0,5.821539180967374,ode_,scn1
120.0,25,0.0,5.821539180967374,ode_,scn1
0.0,26,0.0,4.901568270110483,ode_,scn1
2.0,26,0.0,4.901568270110483,ode_,scn1
4.0,26,0.0,4.901568270110483,ode_,scn1
8.0,26,0.0,4.901568270110483,ode_,scn1
12.0,26,0.0,4.901568270110483,ode_,scn1
24.0,26,0.0,4.901568270110483,ode_,scn1
48.0,26,0.0,4.901568270110483,ode_,scn1
72.0,26,0.0,4.901568270110483,ode_,scn1
120.0,26,0.0,4.901568270110483,ode_,scn1
0.0,27,0.0,6.432275271362344,ode_,scn1
2.0,27,0.0,6.432275271362344,ode_,scn1
4.0,27,0.0,6.432275271362344,ode_,scn1
8.0,27,0.0,6.432275271362344,ode_,scn1
12.0,27,0.0,6.432275271362344,ode_,scn1
24.0,27,0.0,6.432275271362344,ode_,scn1
48.0,27,0.0,6.432275271362344,ode_,scn1
72.0,27,0.0,6.432275271362344,ode_,scn1
120.0,27,0.0,6.432275271362344,ode_,scn1
0.0,28,0.0,5.130197412068441,ode_,scn1
2.0,28,0.0,5.130197412068441,ode_,scn1
4.0,28,0.0,5.130197412068441,ode_,scn1
8.0,28,0.0,5.130197412068441,ode_,scn1
12.0,28,0.0,5.130197412068441,ode_,scn1
24.0,28,0.0,5.130197412068441,ode_,scn1
48.0,28,0.0,5.130197412068441,ode_,scn1
72.0,28,0.0,5.130197412068441,ode_,scn1
120.0,28,0.0,5.130197412068441,ode_,scn1
0.0,29,0.0,4.6680519399685005,ode_,scn1
